maker,name,Band28,Band18/26,Band19,Band8,Band11,Band21,Band3,Band1,W-CDMA-VI/XIX,W-CDMA-VIII,W-CDMA-XI,W-CDMA-IX,W-CDMA-I
,,700MHz帯,800MHz帯,800MHz帯,900MHz帯,1.5GHz帯,1.5GHz帯,1.7GHz帯,2.0GHz帯,800MHz帯,900MHz帯,1.5GHz帯,1.7GHz帯,2.0GHz帯
Apple,iPhone 7 (au),◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,,,◯
,iPhone 7 Plus (au),◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,,,◯
,iPhone SE (au),◯,◯,◯,◯,,,◯,◯,◯,◯,,,◯
,iPhone 6s (au),◯,◯,◯,◯,,,◯,◯,◯,◯,,,◯
,iPhone 6s Plus (au),◯,◯,◯,◯,,,◯,◯,◯,◯,,,◯
,iPad Pro 9.7インチ (au),◯,◯,◯,◯,,,◯,◯,◯,◯,,,◯
,iPad Pro (au),◯,◯,◯,◯,,,◯,◯,◯,◯,,,◯
,iPad mini 4 (au),◯,◯,◯,◯,,,◯,◯,◯,◯,,,◯
au,Qua tab PZ,,◯,,,,,,◯,,,,,
,Qua phone PX,,◯,,,,,◯,◯,,,,,◯
,Qua phone,,◯,,,,,◯,◯,,,,,◯
,Qua tab PX,,◯,,,,,,◯,,,,,
,Qua tab 01,,◯,,,,,,◯,,,,,
,Qua tab 02,,◯,,,,,,◯,,,,,
HTC,HTC 10 HTV32,,◯,◯,,,◯,◯,◯,◯,,,,◯
,HTC J butterfly HTV31,◯,◯,,,,,◯,◯,,,,,◯
KYOCERA,rafre KYV40,,◯,,,,,◯,◯,,,,,◯
,TORQUE X01,,◯,,,,,,◯,,,,,◯
,miraie f,,◯,,,,,,◯,,,,,
,URBANO V03（注1）,,◯,,,,,◯,◯,,,,,◯
,DIGNO®rafre KYV36,◯,◯,,,,,◯,◯,,,,,◯
,GRATINA 4G,,◯,,,,,,◯,,,,,◯
,TORQUE G02,◯,◯,,,,,◯,◯,,,,,◯
,URBANO V02,◯,◯,,,,,◯,◯,,,,,◯
LG,isai Beat LGV34,,◯,,,,,◯,◯,,,,,◯
,isai vivid LGV32,◯,◯,,,,,◯,◯,,,,,◯
SAMSUNG,Galaxy S7 edge SCV33,◯,◯,,,,,◯,◯,,,,,◯
,Galaxy A8 SCV32,◯,◯,,,,,◯,◯,,,,,◯
,Galaxy S6 edge SCV31,◯,◯,,,,,◯,◯,,,,,◯
SHARP,AQUOS SERIE mini SHV38,,◯,,,,,◯,◯,,,,,◯
,AQUOS U SHV37,,◯,,,,,◯,◯,,,,,◯
,BASIO2,,◯,,,,,◯,◯,,,,,◯
,AQUOS U SHV35,,◯,,,,,◯,◯,,,,,◯
,AQUOS SERIE SHV34,,◯,,,,,◯,◯,,,,,◯
,AQUOS SERIE SHV32,◯,◯,,,,,◯,◯,,,,,◯
,AQUOS SERIE mini SHV33,,◯,,,,,◯,◯,,,,,◯
,AQUOS K SHF33,,◯,,,,,,◯,,,,,◯
,AQUOS K SHF32,,◯,,,,,,◯,,,,,◯
Sony Mobile Communications,Xperia™ XZ SOV34,◯,◯,,,,,◯,◯,,,,,◯
,Xperia™ X Performance SOV33,◯,◯,,,,,◯,◯,,,,,◯
,Xperia™ Z5 SOV32,◯,◯,,,,,◯,◯,,,,,◯
,Xperia™ Z4 SOV31,◯,◯,,,,,◯,◯,,,,,◯
,Xperia™ Z4 Tablet SOT31,◯,◯,,,,,◯,◯,,,,,◯
