maker,name,Band28,Band18/26,Band19,Band8,Band11,Band21,Band3,Band1,W-CDMA-VI/XIX,W-CDMA-VIII,W-CDMA-XI,W-CDMA-IX,W-CDMA-I
,,700MHz帯,800MHz帯,800MHz帯,900MHz帯,1.5GHz帯,1.5GHz帯,1.7GHz帯,2.0GHz帯,800MHz帯,900MHz帯,1.5GHz帯,1.7GHz帯,2.0GHz帯
Apple,iPhone 7 (docomo),◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,,,◯
,iPhone 7 Plus (docomo),◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,,,◯
,iPhone SE (docomo),◯,◯,◯,◯,,,◯,◯,◯,◯,,,◯
,iPad Pro 9.7インチ (docomo),◯,◯,◯,◯,,,◯,◯,◯,◯,,,◯
,iPad Pro 12.9インチ (docomo),◯,◯,◯,◯,,,◯,◯,◯,◯,,,◯
,iPad mini 4 (docomo),◯,◯,◯,◯,,,◯,◯,◯,◯,,,◯
,iPhone 6s (docomo),◯,◯,◯,◯,,,◯,◯,◯,◯,,,◯
,iPhone 6s Plus (docomo),◯,◯,◯,◯,,,◯,◯,◯,◯,,,◯
Disney Mobile on docomo,Disney Mobile on docomo DM-01J,,,◯,,,,◯,◯,◯,,,,◯
LG,V20 PRO L-01J,,,◯,,,◯,◯,◯,◯,,,,◯
Fujitsu,らくらくスマートフォ ン4（F-04J）,,,◯,,,,◯,◯,◯,,,,◯
Fujitsu,キッズケータイ F-03J,,,,,,,,,◯,,,,◯
docomo,Wi-Fi STATION N- 01J,,,◯,,,◯,◯,◯,◯,,,,◯
Disney Mobile on docomo,Disney Mobile on docomo DM-02H,,,◯,,,◯,◯,◯,◯,,,,◯
Fujitsu,arrows NX F-01J,,,◯,,,◯,◯,◯,◯,,,,◯
Fujitsu,arrows SV F-03H,,,◯,,,,◯,◯,◯,,,,◯
docomo,MONO MO-01J,,,◯,,,◯,◯,◯,◯,,,,◯
SAMSUNG,Galaxy S7 edge SC-02H,◯,,◯,,,◯,◯,◯,◯,,,,◯
SHARP,AQUOS EVER SH-02J,,,◯,,,,◯,◯,◯,,,,◯
SHARP,AQUOS ZETA SH-04H,,,◯,,,◯,◯,◯,◯,,,,◯
Sony Mobile Communications,Xperia™ XZ SO-01J,◯,,◯,,,◯,◯,◯,◯,,,,◯
Sony Mobile Communications,Xperia™ X CompactSO-02J,◯,,◯,,,◯,◯,◯,◯,,,,◯
Sony Mobile Communications,Xperia™ XPerformance SO-04H,◯,,◯,,,◯,◯,◯,◯,,,,◯
Fujitsu,arrows Tab F-04H,,,◯,,,◯,◯,◯,◯,,,,◯
パナソニッック,P-smart ケータイ P-01J,,,◯,,,,,◯,◯,,,,◯
Fujitsu,AQUOS ケータイ SH- 01J,,,◯,,,,,◯,◯,,,,◯
Fujitsu,らくらくホン F-02J,,,◯,,,,,◯,◯,,,,◯
docomo,Wi-Fi STATION HW-01H,,,◯,,,◯,◯,◯,◯,,,,◯
Disney Mobile on docomo,Disney Mobile on docomo DM-01H ,,,◯,,,,◯,◯,◯,,,,◯
Fujitsu,arrows Fit F-01H,,,◯,,,,◯,◯,◯,,,,◯
Fujitsu,arrows NX F-02H,,,◯,,,◯,◯,◯,◯,,,,◯
SAMSUNG,Galaxy Active neo SC-01H,,,◯,,,,◯,◯,◯,,,,◯
SHARP,AQUOS ZETA SH-01H,,,◯,,,◯,◯,◯,◯,,,,◯
SHARP,AQUOS Compact SH-02H,,,◯,,,,◯,◯,◯,,,,◯
Sony Mobile Communications,Xperia™ Z5 SO-01H,◯,,◯,,,◯,◯,◯,◯,,,,◯
Sony Mobile Communications,Xperia™ Z5 Compact SO-02H,◯,,◯,,,◯,◯,◯,◯,,,,◯
Sony Mobile Communications,Xperia™ Z5 Premium SO-03H,◯,,◯,,,◯,◯,◯,◯,,,,◯
Google,Nexus 5X,,◯,◯,◯,,,◯,◯,◯,◯,,◯,◯
Huawei,dtab d-01H,,,◯,,,,◯,◯,◯,,,,◯
Huawei,dtab Compact d-02H,,,◯,,,,◯,◯,◯,,,,◯
docomo,Wi-Fi STATION N-01H,,,◯,,,◯,◯,◯,◯,,,,◯
Disney Mobile on docomo,Disney Mobile on docomo DM-01G,,,◯,,,◯,◯,◯,◯,,,,◯
Fujitsu,ARROWS NX F-04G,◯,,◯,,,◯,◯,◯,◯,,,,◯
SHARP,AQUOS ZETA SH-03G,◯,,◯,,,◯,◯,◯,◯,,,,◯
SHARP,AQUOS EVER SH-04G,,,◯,,,◯,◯,◯,◯,,,,◯
Sony Mobile Communications,Xperia™ Z4 SO-03G,◯,,◯,,,◯,◯,◯,◯,,,,◯
Sony Mobile Communications,Xperia™ A4 SO-04G,,,◯,,,◯,◯,◯,◯,,,,◯
SHARP,AQUOS PAD SH-05G,,,◯,,,◯,◯,◯,◯,,,,◯
Sony Mobile Communications,Xperia™ Z4 Tablet SO-05G,◯,,◯,,,◯,◯,◯,◯,,,,◯
Fujitsu,ARROWS ケータイ F-05G,,,,,,,,,◯,,,,◯
SHARP,AQUOS ケータイ SH-06G,,,,,,,,,◯,,,,◯
