,provider_key,carrier,name,key,parent_key,order,data_n,sms_n,voice_n,capacity,price,phone_base,down_speed,up_speed,voice_price,sms_d,sms_i,carry_over,admin_fee,add_sim,payment_type,SIM発行料,最低利用期間,penalty,start_at,end_at,visible
,dmm,docomo,ライトプラン データSIMプラン,light-data,,,1,0,0,,440,,,,,,,,3000,,,,,,,,TRUE
,,,ライトプラン 通話SIMプラン,light-voice,,,0,0,1,,1140,,,,,,,,3000,,,,,,,,TRUE
,,,シングルコース データSIMプラン,single-data-1,,,1,0,0,1,480,,,,,,,,3000,,,,,,,,TRUE
,,,,single-data-2,single-data-1,,1,0,0,2,770,,,,,,,,3000,,,,,,,,TRUE
,,,,single-data-3,single-data-1,,1,0,0,3,850,,,,,,,,3000,,,,,,,,TRUE
,,,,single-data-5,single-data-1,,1,0,0,5,1210,,,,,,,,3000,,,,,,,,TRUE
,,,,single-data-7,single-data-1,,1,0,0,7,1860,,,,,,,,3000,,,,,,,,TRUE
,,,,single-data-8,single-data-1,,1,0,0,8,1980,,,,,,,,3000,,,,,,,,TRUE
,,,,single-data-10,single-data-1,,1,0,0,10,2190,,,,,,,,3000,,,,,,,,TRUE
,,,,single-data-15,single-data-1,,1,0,0,15,3280,,,,,,,,3000,,,,,,,,TRUE
,,,,single-data-20,single-data-1,,1,0,0,20,3980,,,,,,,,3000,,,,,,,,TRUE
,,,シングルコース データSIMプラン（SMSつき）,single-sms-1,,,0,1,0,1,630,,,,,,,,3000,,,,,,,,TRUE
,,,,single-sms-2,single-sms-1,,0,1,0,2,920,,,,,,,,3000,,,,,,,,TRUE
,,,,single-sms-3,single-sms-1,,0,1,0,3,1000,,,,,,,,3000,,,,,,,,TRUE
,,,,single-sms-5,single-sms-1,,0,1,0,5,1360,,,,,,,,3000,,,,,,,,TRUE
,,,,single-sms-7,single-sms-1,,0,1,0,7,2010,,,,,,,,3000,,,,,,,,TRUE
,,,,single-sms-8,single-sms-1,,0,1,0,8,2130,,,,,,,,3000,,,,,,,,TRUE
,,,,single-sms-10,single-sms-1,,0,1,0,10,2340,,,,,,,,3000,,,,,,,,TRUE
,,,,single-sms-15,single-sms-1,,0,1,0,15,3430,,,,,,,,3000,,,,,,,,TRUE
,,,,single-sms-20,single-sms-1,,0,1,0,20,4130,,,,,,,,3000,,,,,,,,TRUE
